% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (6.870000000000e+00) | measured fitness | best measured fitness | x1 | x2...
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1.869500000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.348465466e+01 +2.348465466e+01 -1.634653453e+02 -1.634653453e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +2.096755408e+01 +2.096755408e+01 -1.659824459e+02 -1.659824459e+02 +4.4814e+00 +2.4292e+00 +5.7427e-01 +1.6416e+00 -1.5992e+00 -2.9733e+00 -4.0777e+00 +3.4023e-01 +2.7437e+00 +4.3701e-02
3 0 +1.651391711e+01 +1.651391711e+01 -1.704360829e+02 -1.704360829e+02 -4.9085e+00 +4.2624e+00 -2.9630e+00 -4.5783e+00 -4.2947e+00 +4.5737e+00 +3.1628e+00 +4.6765e+00 -1.5986e+00 +1.5676e+00
4 0 +8.108054229e+00 +8.108054229e+00 -1.788419458e+02 -1.788419458e+02 +3.9968e+00 +3.8503e+00 +2.9611e+00 -1.9260e+00 -2.1899e+00 -3.7496e-01 +4.3988e+00 -2.7584e+00 +2.5799e+00 -3.8479e+00
8 0 +7.397256369e+00 +7.397256369e+00 -1.795527436e+02 -1.795527436e+02 +2.7245e+00 +3.9921e-01 -3.2168e-01 -3.9355e+00 +3.5039e+00 +1.6133e+00 +4.6828e+00 +3.0714e+00 +3.9816e+00 +3.1409e+00
13 0 +6.546661274e+00 +6.546661274e+00 -1.804033387e+02 -1.804033387e+02 -4.5657e+00 -2.7123e+00 -3.7850e+00 -4.1051e+00 -4.3265e+00 -5.9943e-01 +3.7604e+00 -2.9708e+00 -2.3716e+00 -4.3062e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (5.859500000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +2.472371669e+01 +2.472371669e+01 +6.106737167e+02 +6.106737167e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +1.734529363e+01 +1.734529363e+01 +6.032952936e+02 +6.032952936e+02 +3.2425e+00 +1.8369e+00 +2.5085e+00 -3.3292e+00 -6.2977e-01 +4.7268e+00 -2.0143e-01 +4.0184e-01 -1.6462e-01 -2.2407e+00
4 0 +1.239678561e+01 +1.239678561e+01 +5.983467856e+02 +5.983467856e+02 +3.2858e+00 -3.7535e+00 +6.7792e-02 +4.6128e+00 -2.0508e+00 -7.8957e-01 -2.3512e+00 -2.8871e+00 -6.6889e-01 +1.5363e+00
5 0 +1.179935985e+01 +1.179935985e+01 +5.977493598e+02 +5.977493598e+02 +2.0350e+00 -3.8167e+00 +1.5905e+00 +3.1455e+00 -3.4219e+00 +3.5042e+00 +4.4716e+00 -4.4449e+00 -4.9014e+00 +2.8695e+00
